ISO3166_alpha3,primary_ej
DZA,2.464502678
AGO,
ARG,3.432285354
AUS,5.720003054
AUT,1.482714071
AZE,0.659687888
BHR,
BGD,1.653675346
BLR,1.105878633
BEL,2.72612517
BOL,
BRA,12.56561033
BRN,
BGR,0.783416482
CAN,13.93616124
TCD,
CHL,1.663829706
CHN,157.6472254
HKG,0.875686276
COL,1.923512484
HRV,0.357841
CUB,
CUW,
CYP,0.107275874
CZE,1.67766756
COD,
DNK,0.671560159
ECU,0.762230635
EGY,3.794049759
GNQ,
EST,0.23716471
FIN,1.158714988
FRA,9.406049403
GAB,
DEU,12.6417138
GRC,1.053126197
HUN,1.015892667
ISL,0.210186852
IND,35.42836866
IDN,8.309739918
IRN,12.19029192
IRQ,2.123094793
IRL,0.627178634
ISR,1.051429899
ITA,6.35520986
JPN,17.74027404
KAZ,2.849647999
KWT,1.738894798
LVA,0.15196138
LBY,
LTU,0.252673974
LUX,0.151514175
MDG,
MYS,4.190895437
MEX,6.788998976
MNG,
MAR,0.955451734
MOZ,
MMR,
NLD,3.474543751
NCL,
NZL,0.841422425
NGA,
MKD,0.104596337
NOR,2.045226403
OMN,1.499264964
O-AFR,7.802230957
O-AP,3.404623231
O-CIS,0.838842245
O-CAR,1.651022738
O-EAFR,
O-EUR,1.619540029
O-MAFR,
O-ME,1.957378829
O-NAM,
O-NAFR,1.222163141
O-SCA,4.264749136
O-SAM,1.178145214
O-SAFR,0.195013647
O-WAFR,
PAK,3.856714938
PNG,
PER,1.199656761
PHL,1.961677818
POL,4.442018407
PRT,0.956500828
QAT,1.927189418
COG,
ROW,
ROU,1.403318455
RUS,31.29704441
SAU,10.82421316
SRB,
SGP,3.45670803
SVK,0.709854271
SVN,0.269967306
ZAF,4.97843062
KOR,12.57552414
SSD,
ESP,5.591630176
LKA,0.382358564
SDN,
SWE,2.283887149
CHE,1.073902452
SYR,
TWN,4.97798276
THA,5.109656198
T-AFR,19.99466575
T-AP,272.4523294
T-CIS,40.32450256
T-CAM,1.435581184
T-EU,60.11241476
T-EAFR,2.342302103
T-EUR,82.38436466
T-MAFR,1.063904547
T-ME,37.84019022
T-NOECD,365.2643911
T-NOPEC,
T-NAM,113.6968188
T-OECD,229.8864588
T-OPEC,
T-SCA,28.45797857
T-WAFR,2.978847519
WLD,595.1508499
TTO,0.614570898
TUN,
TUR,6.827258413
TKM,1.604922045
USA,92.97165858
UKR,3.334732185
ARE,4.528432432
GBR,7.179401539
UZB,1.968479337
VEN,2.031533267
VNM,4.319793147
YEM,
ZMB,
ZWE,
